Name,Origin,Alpha (%),Type,
Admiral,UK,14.8 %,Bittering,
Ahtanum,US,6.0 %,Aroma,
Amarillo Gold,US,8.5 %,Aroma,
Aquila,US,6.5 %,Aroma,
Banner,US,10.0 %,Bittering,
Bramling Cross,UK,6.0 %,Aroma,
Brewers Gold,UK,8.0 %,Bittering,
Bullion,UK,8.0 %,Bittering,
Cascade,US,5.5 %,Both,
Centennial,US,10.0 %,Bittering,
Challenger,UK,7.5 %,Aroma,
Chinook,US,13.0 %,Bittering,
Cluster,US,7.0 %,Bittering,
Columbia,UK,5.5 %,Bittering,
Columbus (Tomahawk),US,14.0 %,Bittering,
Comet,US,9.5 %,Bittering,
Crystal,US,3.5 %,Aroma,
Eroica,US,13.0 %,Bittering,
First Gold,UK,7.5 %,Both,
Fuggles,UK,4.5 %,Aroma,
Galena,US,13.0 %,Bittering,
Glacier,US,5.6 %,Aroma,
Goldings gB. C.,Canada,5.0 %,Aroma
Goldings East Kent (EK),UK,5.0 %,Aroma
Green Bullet,New Zealand,13.5 %,Bittering,
Hallertauer,Germany,4.8 %,Aroma,
Hallertauer Hersbrucker,Germany,4.0 %,Aroma,
Hallertauer Mittelfrueh,Germany,4.0 %,Aroma,
Hallertauer New Zealand,New Zealand,8.5 %,Both,
Herald,UK,12.0 %,Bittering,
Horizon,US,12.0 %,Bittering,
Liberty,US,4.3 %,Aroma,
Lublin,Poland,5.0 %,Bittering,
Magnum,Germany,14.0 %,Bittering,
Mt. Hood,US,6.0 %,Aroma,
Northdown,UK,8.5 %,Both,
Northern Brewer,Germany,8.5 %,Both,
Nugget,US,13.0 %,Bittering,
Orion,Germany,7.3 %,Both,
Pacific Gem,New Zealand,15.0 %,Bittering,
Pearle,Germany,8.0 %,Bittering,
Phoenix,UK,8.0 %,Bittering,
Pilgrim,UK,11.5 %,Bittering,
Pioneer,UK,9.0 %,Both,
Pride of Ringwood,Australia,9.0 %,Bittering,
Progress,UK,6.3 %,Aroma,
Saaz,Czech Rep,4.0 %,Aroma,
Santiam,US,6.0 %,Aroma,
Select Spalt,Germany,4.8 %,Aroma,
Southern Cross,New Zealand,13.0 %,Both,
Spalter,Germany,4.5 %,Aroma,
Sterling,US,7.5 %,Both,
Sticklebract,New Zealand,13.5 %,Both,
Strisselspalt,France,4.0 %,Aroma,
Styrian Goldings,Slovenia,5.4 %,Aroma,
Sun,US,14.0 %,Bittering,
Super Alpha,New Zealand,13.0 %,Bittering,
Target,UK,11.0 %,Bittering,
Tettnang,Germany,4.5 %,Aroma,
Tradition,Germany,6.0 %,Bittering,
Ultra,US,3.0 %,Aroma,
Vanguard,US,5.5 %,Aroma,
Warrior,US,15%,Both,
Whitbread Golding Var (WGV),UK,6.0 %,Aroma,
Willamette,US,5.5 %,Aroma,
Zeus,US,14.0 %,Bittering,
